iter	Logloss
0	0.6789571514
1	0.6663156527
2	0.6578878738
3	0.6498349182
4	0.6433895332
5	0.6344688667
6	0.6291766684
7	0.6240054761
8	0.6198015201
9	0.6155636577
10	0.6120136209
11	0.6065774363
12	0.6036360392
13	0.6006910694
14	0.5980275404
15	0.5940441509
16	0.5907743234
17	0.5886651526
18	0.5867661171
19	0.5853684566
20	0.5828097194
21	0.5816194035
22	0.5796396976
23	0.5787168045
24	0.5770924962
25	0.5761568371
26	0.5751900959
27	0.5739267394
28	0.5730498411
29	0.5717731635
30	0.5711450673
31	0.5700931063
32	0.5696017934
33	0.5691115312
34	0.5687221146
35	0.5682402546
36	0.567677843
37	0.5669533598
38	0.5664216237
39	0.5658094701
40	0.5654639196
41	0.5649940521
42	0.5642659142
43	0.563740038
44	0.5632463853
45	0.562901209
46	0.5626331346
47	0.5620544724
48	0.5616335808
49	0.56140666
50	0.5611850772
51	0.5607760978
52	0.5603934287
53	0.5602054805
54	0.5597449242
55	0.5595102417
56	0.559182708
57	0.5588898756
58	0.5586914344
59	0.5584179219
60	0.5582016957
61	0.5580110219
62	0.5577859347
63	0.5575626859
64	0.557266502
65	0.556979051
66	0.5568068913
67	0.5566383516
68	0.5564715266
69	0.5562440236
70	0.5560227094
71	0.5557942154
72	0.5556443235
73	0.5554044551
74	0.5552360456
75	0.5550020946
76	0.5548307789
77	0.5546610379
78	0.5544917275
79	0.5543063588
80	0.5541312343
81	0.5538826942
82	0.553666835
83	0.553521002
84	0.5532651454
85	0.5530145991
86	0.5528563459
87	0.5526852787
88	0.5525259537
89	0.5523921993
90	0.5522206218
91	0.5520444374
92	0.5518894582
93	0.551736079
94	0.5515765676
95	0.5513790381
96	0.5512048808
97	0.5510413578
98	0.5508330837
99	0.5506661414
100	0.5504809727
101	0.5502991717
102	0.5501531852
103	0.5500419278
104	0.5499051674
105	0.54977242
106	0.5496244548
107	0.5494801424
108	0.5493047734
109	0.5491648619
110	0.549016419
111	0.5488750869
112	0.5487339988
113	0.5485708743
114	0.5484328954
115	0.5482980147
116	0.5481329817
117	0.5480133601
118	0.5478774964
119	0.5477523945
120	0.5475867807
121	0.5474324094
122	0.547323981
123	0.5471491727
124	0.5469988918
125	0.5468628673
126	0.5467302341
127	0.5465964989
128	0.5464608699
129	0.5462915993
130	0.5461309291
131	0.5460129917
132	0.5458876102
133	0.5457266349
134	0.5455781851
135	0.5454740199
136	0.5453181813
137	0.5452146757
138	0.5450730118
139	0.544971522
140	0.5448379296
141	0.5447125032
142	0.5445704685
143	0.5444543892
144	0.5443065514
145	0.5441996836
146	0.5441107384
147	0.5439991026
148	0.5438557602
149	0.5437542539
150	0.5436010552
151	0.5434866878
152	0.5433829888
153	0.5432282071
154	0.5430998237
155	0.5429591535
156	0.5428436148
157	0.5427542412
158	0.5426536923
159	0.5424862166
160	0.5423466761
161	0.5421764797
162	0.5420706306
163	0.5419477234
164	0.5417951912
165	0.5416385703
166	0.5415124336
167	0.5414061369
168	0.5413245622
169	0.5412136682
170	0.5411169903
171	0.540979102
172	0.5408831667
173	0.5407273271
174	0.5406239374
175	0.5405051553
176	0.5404294091
177	0.5403210715
178	0.5401634469
179	0.5399933516
180	0.5398655364
181	0.5397699688
182	0.5396257236
183	0.5395338229
184	0.5393855561
185	0.5392772239
186	0.5391552025
187	0.5390253847
188	0.5388822758
189	0.538738776
190	0.5386625402
191	0.5385406026
192	0.5384359497
193	0.5383124606
194	0.5381847341
195	0.5380323009
196	0.53791439
197	0.5377826914
198	0.5376754015
199	0.5375449416
200	0.5373899744
201	0.5372300028
202	0.5371111721
203	0.536999203
204	0.5369190246
205	0.5368050481
206	0.5366497651
207	0.536508476
208	0.536402286
209	0.5362581099
210	0.5361239301
211	0.5360004766
212	0.5358542226
213	0.5357222828
214	0.5355856283
215	0.5354622615
216	0.53534789
217	0.5351973422
218	0.5350295539
219	0.5348776117
220	0.5347297611
221	0.5345797878
222	0.5344353716
223	0.5343045045
224	0.5341661765
225	0.5340163418
226	0.5338445478
227	0.5337123357
228	0.5335440145
229	0.5333977548
230	0.533244191
231	0.5330860054
232	0.532932536
233	0.5328196476
234	0.5326829775
235	0.532565005
236	0.5324506533
237	0.5323459587
238	0.5321937234
239	0.5320353315
240	0.5318734309
241	0.5317280598
242	0.5315990432
243	0.5314284147
244	0.531305414
245	0.5311924427
246	0.5310365291
247	0.5308897607
248	0.5307725876
249	0.5306122303
250	0.5304533164
251	0.5303369097
252	0.5301367236
253	0.5300259786
254	0.5298324951
255	0.5297304298
256	0.5295088525
257	0.5293926591
258	0.5292450029
259	0.5290646783
260	0.5289094674
261	0.5287515146
262	0.5285903111
263	0.5284372174
264	0.5282830724
265	0.5281170508
266	0.5278428503
267	0.5276972759
268	0.5275267528
269	0.5273655021
270	0.5272205191
271	0.527067965
272	0.5269423657
273	0.5267587556
274	0.526553879
275	0.5264376392
276	0.5263181584
277	0.5261478257
278	0.5260117246
279	0.5258405054
280	0.5256408426
281	0.5254727719
282	0.5253208809
283	0.5251380851
284	0.525003629
285	0.5248271107
286	0.5246945041
287	0.5245490059
288	0.5244052712
289	0.5242369501
290	0.5240664708
291	0.5238957936
292	0.5236928784
293	0.5235774696
294	0.52342503
295	0.5232427115
296	0.5230981691
297	0.5229513207
298	0.5227788708
299	0.5226013018
300	0.522437293
301	0.522272635
302	0.5220985877
303	0.5219532567
304	0.5217899448
305	0.5216724761
306	0.5215244353
307	0.5213504991
308	0.5212124101
309	0.5210663903
310	0.5209568312
311	0.520779896
312	0.5206525314
313	0.520471506
314	0.520301463
315	0.5201460495
316	0.5200095336
317	0.5198152676
318	0.5196717846
319	0.5195204655
320	0.5193772019
321	0.5192447083
322	0.5190974958
323	0.5189213839
324	0.5187629455
325	0.5186255066
326	0.5185110107
327	0.5183640501
328	0.5182146352
329	0.517963253
330	0.5178130542
331	0.5176450813
332	0.517530961
333	0.5173917399
334	0.5172220764
335	0.517086549
336	0.5169389108
337	0.5168276028
338	0.5166450227
339	0.5165045328
340	0.5163569178
341	0.5161771789
342	0.5159776994
343	0.5158680098
344	0.5156933706
345	0.5155145372
346	0.5153962933
347	0.5152187543
348	0.5151131159
349	0.5150065852
350	0.5148748041
351	0.5147068694
352	0.5145909593
353	0.5144549956
354	0.5143419177
355	0.5141653717
356	0.5140530673
357	0.5138885591
358	0.5137520128
359	0.5135850953
360	0.5134365013
361	0.5133088452
362	0.5131718404
363	0.5129957441
364	0.512841637
365	0.512641947
366	0.512513778
367	0.5123858238
368	0.5122766796
369	0.5120790734
370	0.5119316217
371	0.5117839417
372	0.5116668882
373	0.5115475287
374	0.5114037135
375	0.5112804451
376	0.5111397316
377	0.51102257
378	0.5108536369
379	0.5107091636
380	0.5105661026
381	0.5104267961
382	0.5103060458
383	0.5101863689
384	0.5100273029
385	0.5099113344
386	0.5097571766
387	0.5095715809
388	0.5094490573
389	0.5093014861
390	0.5091954797
391	0.5090633144
392	0.5089449029
393	0.5088080183
394	0.5086472033
395	0.5085061873
396	0.5084082898
397	0.5082447733
398	0.5080956596
399	0.507968365
400	0.5078037608
401	0.5076742366
402	0.5075080596
403	0.5073345939
404	0.5071994235
405	0.5070617861
406	0.5069500528
407	0.5067315818
408	0.5065683854
409	0.5064320769
410	0.5062666938
411	0.5060896363
412	0.5059141787
413	0.5057882081
414	0.5056711397
415	0.505549054
416	0.505410256
417	0.5052458846
418	0.505098362
419	0.5049164587
420	0.5047845178
421	0.5046749448
422	0.5045572073
423	0.5044154455
424	0.5042843079
425	0.5041519585
426	0.5040472307
427	0.5039402161
428	0.5038218835
429	0.5036944721
430	0.5035636969
431	0.5034493109
432	0.5033076784
433	0.5031330347
434	0.5029956271
435	0.5028594141
436	0.5027026957
437	0.5025527469
438	0.5024480797
439	0.5022599677
440	0.5021157198
441	0.5019669994
442	0.5018170082
443	0.5016847192
444	0.5015646481
445	0.501401975
446	0.5012275782
447	0.5010651959
448	0.5009762507
449	0.500865878
450	0.5007169335
451	0.5006108356
452	0.5004861761
453	0.5003464438
454	0.5002148183
455	0.5000625059
456	0.4999146277
457	0.4997297906
458	0.4995993588
459	0.4994387406
460	0.4993203381
461	0.4991479431
462	0.4990172279
463	0.4988339328
464	0.4986861715
465	0.4985983613
466	0.4984764456
467	0.4983643586
468	0.4982151991
469	0.4980629205
470	0.4979356725
471	0.4977912115
472	0.4976553635
473	0.4975315179
474	0.4973529093
475	0.497221674
476	0.4970867703
477	0.4969372058
478	0.4967432604
479	0.4965746166
480	0.4964617092
481	0.4963406888
482	0.4962261243
483	0.496091029
484	0.4959494744
485	0.4958532404
486	0.4957755251
487	0.4956216313
488	0.4954946568
489	0.4953915887
490	0.4952325029
491	0.4951317686
492	0.4949630829
493	0.4948513577
494	0.49472829
495	0.4946360004
496	0.4944865393
497	0.4943490403
498	0.494226758
499	0.4940885931
500	0.4939418907
501	0.4938035167
502	0.4936587935
503	0.4935517849
504	0.4934389049
505	0.4933615719
506	0.4932212721
507	0.4930727912
508	0.4929467735
509	0.4928324594
510	0.4927163366
511	0.4925660637
512	0.4924572191
513	0.4923411275
514	0.492253393
515	0.4921004365
516	0.4919700601
517	0.4918509913
518	0.491751532
519	0.4915890207
520	0.4914133606
521	0.491269261
522	0.4911486331
523	0.4910332453
524	0.4909410116
525	0.4907982011
526	0.4906709022
527	0.4905347723
528	0.4903794608
529	0.4902345597
530	0.4901093413
531	0.4899835525
532	0.4898204398
533	0.4897124689
534	0.4896014486
535	0.4894839171
536	0.4893386854
537	0.4891887678
538	0.4890807706
539	0.4889584081
540	0.4888360947
541	0.4887207213
542	0.4885931882
543	0.488455732
544	0.4883478119
545	0.4882479864
546	0.4881555951
547	0.4880297208
548	0.4879093798
549	0.4877888801
550	0.4876626649
551	0.4874891898
552	0.4873721318
553	0.4872312349
554	0.4870979445
555	0.4869946912
556	0.486879682
557	0.4867319879
558	0.4866090814
559	0.4864715003
560	0.48635682
561	0.4862659675
562	0.4861270889
563	0.4859900895
564	0.4858180142
565	0.4856919958
566	0.485545233
567	0.4854511939
568	0.4853210663
569	0.4852461799
570	0.4851105368
571	0.4849802573
572	0.484824873
573	0.4846873034
574	0.4845817399
575	0.4844840376
576	0.4843652378
577	0.4842603745
578	0.484142897
579	0.4840183827
580	0.4839263022
581	0.4837722479
582	0.4836877576
583	0.4835729255
584	0.4834130322
585	0.4832748671
586	0.4831818934
587	0.4830075544
588	0.4828356822
589	0.4827213677
590	0.4826040328
591	0.4824819428
592	0.4823864915
593	0.4822586335
594	0.4821211093
595	0.4819887812
596	0.4818490684
597	0.4817094375
598	0.4816117781
599	0.4814813111
600	0.4813548996
601	0.4812301403
602	0.4811053827
603	0.480971987
604	0.4808323907
605	0.4806735786
606	0.4805525902
607	0.4804213195
608	0.480271695
609	0.4801550409
610	0.480026177
611	0.4798872214
612	0.4797723597
613	0.4796383813
614	0.4795038105
615	0.4793911065
616	0.4792721554
617	0.47916458
618	0.4790719424
619	0.478936933
620	0.4787957463
621	0.4786673742
622	0.4785422589
623	0.4783861645
624	0.478273369
625	0.478180882
626	0.478093935
627	0.4779915233
628	0.4778553642
629	0.4777069102
630	0.4776129459
631	0.4774279849
632	0.4772800566
633	0.4771650576
634	0.4770626966
635	0.4769534999
636	0.4767996979
637	0.4767067496
638	0.4765517559
639	0.4764350171
640	0.4763358128
641	0.476234836
642	0.4761017826
643	0.4759734692
644	0.475867049
645	0.4757817452
646	0.475602201
647	0.4754657372
648	0.4753489613
649	0.4752262739
650	0.4751026784
651	0.474954242
652	0.4748201095
653	0.4746958159
654	0.4745809488
655	0.4744692721
656	0.4743501689
657	0.4742380277
658	0.4740853918
659	0.4739620011
660	0.4738349553
661	0.4737141264
662	0.4736138311
663	0.4734853146
664	0.4733565036
665	0.4732439723
666	0.4731537971
667	0.473003543
668	0.4728645765
669	0.4727356184
670	0.4725449674
671	0.4724094322
672	0.4722418641
673	0.4721156745
674	0.4719907737
675	0.4718823056
