iter	Passed	Remaining
402	9957	14750
403	9983	14727
404	10006	14701
405	10030	14674
406	10055	14650
407	10080	14626
408	10107	14604
409	10131	14579
410	10156	14555
411	10182	14531
412	10206	14506
413	10230	14481
414	10255	14456
415	10278	14429
416	10302	14404
417	10328	14381
418	10353	14356
419	10377	14331
420	10402	14306
421	10426	14281
422	10451	14256
423	10474	14230
424	10498	14204
425	10523	14178
426	10546	14152
427	10568	14124
428	10596	14103
429	10618	14075
430	10642	14050
431	10666	14024
432	10691	13999
433	10716	13976
434	10739	13949
435	10765	13925
436	10789	13900
437	10817	13880
438	10842	13855
439	10868	13832
440	10891	13806
441	10915	13780
442	10940	13755
443	10968	13734
444	10992	13709
445	11018	13686
446	11040	13658
447	11065	13634
448	11088	13607
449	11109	13578
450	11134	13554
451	11160	13530
452	11187	13508
453	11212	13484
454	11236	13459
455	11262	13435
456	11288	13412
457	11312	13387
458	11337	13362
459	11362	13338
460	11387	13313
461	11411	13288
462	11437	13265
463	11461	13239
464	11486	13215
465	11510	13190
466	11534	13164
467	11558	13139
468	11584	13115
469	11609	13091
470	11633	13066
471	11657	13040
472	11680	13013
473	11705	12989
474	11728	12963
475	11752	12937
476	11777	12912
477	11800	12886
478	11824	12861
479	11848	12836
480	11872	12810
481	11895	12784
482	11920	12759
483	11944	12734
484	11967	12708
485	11992	12683
486	12018	12659
487	12041	12633
488	12065	12608
489	12089	12582
490	12112	12556
491	12135	12529
492	12159	12504
493	12182	12478
494	12207	12453
495	12230	12428
496	12256	12404
497	12280	12379
498	12304	12354
499	12328	12328
500	12353	12304
501	12379	12281
502	12404	12256
503	12427	12230
504	12452	12205
505	12475	12179
506	12501	12155
507	12525	12131
508	12550	12106
509	12572	12079
510	12596	12053
511	12620	12028
512	12643	12003
513	12667	11977
514	12691	11951
515	12716	11928
516	12739	11901
517	12764	11877
518	12788	11852
519	12812	11827
520	12837	11802
521	12862	11778
522	12887	11753
523	12910	11727
524	12935	11703
525	12961	11680
526	12985	11655
527	13010	11630
528	13034	11604
529	13058	11580
530	13081	11553
531	13105	11529
532	13128	11502
533	13153	11478
534	13176	11452
535	13202	11429
536	13227	11404
537	13253	11381
538	13277	11356
539	13302	11331
540	13328	11308
541	13355	11285
542	13381	11262
543	13405	11237
544	13430	11212
545	13455	11188
546	13480	11164
547	13504	11139
548	13532	11117
549	13559	11093
550	13584	11069
551	13608	11044
552	13634	11021
553	13658	10996
554	13686	10973
555	13709	10948
556	13735	10924
557	13759	10899
558	13785	10875
559	13810	10851
560	13837	10828
561	13862	10803
562	13887	10779
563	13912	10755
564	13938	10731
565	13964	10708
566	13989	10683
567	14014	10658
568	14041	10635
569	14064	10609
570	14090	10586
571	14117	10563
572	14145	10541
573	14169	10515
574	14192	10490
575	14216	10465
576	14242	10440
577	14267	10416
578	14293	10393
579	14318	10368
580	14343	10344
581	14368	10319
582	14391	10293
583	14418	10270
584	14441	10244
585	14466	10220
586	14491	10195
587	14516	10171
588	14541	10147
589	14567	10123
590	14595	10100
591	14621	10076
592	14647	10053
593	14673	10029
594	14700	10006
595	14727	9983
596	14752	9958
597	14777	9933
598	14800	9908
599	14827	9885
600	14852	9860
601	14877	9836
602	14903	9812
603	14928	9787
604	14952	9762
605	14976	9737
606	15002	9713
607	15028	9689
608	15052	9664
609	15077	9639
610	15102	9615
611	15125	9589
612	15150	9564
613	15175	9540
614	15199	9514
615	15225	9491
616	15251	9467
617	15275	9442
618	15297	9415
619	15324	9392
620	15349	9368
621	15375	9344
622	15401	9319
623	15427	9296
624	15453	9272
625	15477	9246
626	15499	9220
627	15526	9196
628	15549	9171
629	15574	9147
630	15599	9122
631	15623	9097
632	15649	9073
633	15675	9049
634	15697	9023
635	15722	8998
636	15748	8974
637	15773	8949
638	15798	8925
639	15825	8901
640	15853	8878
641	15882	8856
642	15908	8832
643	15934	8808
644	15962	8785
645	15988	8761
646	16018	8739
647	16051	8719
648	16082	8697
649	16109	8674
650	16136	8651
651	16166	8628
652	16197	8607
653	16227	8585
654	16256	8562
655	16284	8539
656	16310	8515
657	16338	8492
658	16375	8473
659	16401	8449
660	16428	8425
661	16458	8403
662	16487	8380
663	16512	8355
664	16537	8331
665	16564	8306
666	16592	8284
667	16628	8264
668	16674	8250
669	16723	8236
670	16774	8224
671	16821	8210
672	16856	8190
673	16888	8168
674	16920	8146
675	16952	8125
676	16983	8102
677	17014	8080
678	17047	8059
679	17093	8043
680	17148	8032
681	17198	8019
682	17243	8003
683	17276	7981
684	17315	7962
685	17345	7939
686	17379	7918
687	17410	7895
688	17436	7870
689	17461	7844
690	17486	7819
691	17511	7794
692	17538	7769
693	17568	7746
694	17593	7720
695	17619	7695
696	17643	7670
697	17670	7645
698	17695	7619
699	17720	7594
700	17745	7569
701	17775	7545
702	17797	7518
703	17832	7497
704	17858	7472
705	17884	7447
706	17910	7422
707	17934	7396
708	17960	7371
709	17985	7346
710	18012	7321
711	18036	7295
712	18063	7270
713	18088	7245
714	18117	7221
715	18141	7195
716	18166	7170
717	18192	7145
718	18216	7119
719	18241	7093
720	18265	7068
721	18289	7042
722	18315	7017
723	18343	6992
724	18371	6968
725	18400	6944
726	18453	6929
727	18521	6920
728	18568	6902
729	18602	6880
730	18637	6858
731	18674	6836
732	18706	6813
733	18733	6788
734	18765	6765
735	18797	6742
736	18836	6721
737	18873	6700
738	18908	6678
739	18944	6656
740	18985	6635
741	19019	6613
742	19057	6591
743	19089	6568
744	19125	6546
745	19151	6520
746	19188	6498
747	19217	6474
748	19255	6452
749	19284	6428
750	19310	6402
751	19336	6376
752	19362	6351
753	19392	6327
754	19420	6301
755	19447	6276
756	19472	6250
757	19496	6224
758	19523	6199
759	19551	6174
760	19577	6148
761	19607	6124
762	19637	6099
763	19666	6074
764	19696	6050
765	19726	6026
766	19758	6002
767	19788	5977
768	19819	5953
769	19848	5928
770	19879	5904
771	19911	5880
772	19941	5855
773	19967	5830
774	19992	5804
775	20018	5778
776	20045	5753
777	20079	5729
778	20111	5705
779	20150	5683
780	20176	5657
781	20202	5631
782	20229	5606
783	20254	5580
784	20283	5555
785	20321	5532
786	20361	5510
787	20399	5488
788	20429	5463
789	20459	5438
790	20492	5414
791	20521	5389
792	20568	5369
793	20606	5346
794	20641	5322
795	20672	5297
796	20703	5273
797	20732	5248
798	20764	5223
799	20795	5198
800	20832	5175
801	20862	5150
802	20891	5125
803	20923	5100
804	20955	5076
805	20990	5052
806	21020	5027
807	21055	5003
808	21086	4978
809	21119	4954
810	21146	4928
811	21172	4902
812	21198	4875
813	21225	4850
814	21250	4823
815	21277	4797
816	21304	4772
817	21331	4746
818	21358	4720
819	21384	4694
820	21409	4667
821	21435	4641
822	21455	4614
823	21482	4588
824	21510	4562
825	21536	4536
826	21562	4510
827	21587	4484
828	21616	4458
829	21641	4432
830	21668	4406
831	21695	4380
832	21722	4354
833	21746	4328
834	21771	4302
835	21796	4275
836	21821	4249
837	21848	4223
838	21875	4197
839	21901	4171
840	21926	4145
841	21952	4119
842	21980	4093
843	22005	4067
844	22031	4041
845	22057	4015
846	22083	3989
847	22108	3962
848	22134	3936
849	22159	3910
850	22187	3884
851	22213	3858
852	22238	3832
853	22266	3806
854	22291	3780
855	22319	3754
856	22346	3728
857	22372	3702
858	22397	3676
859	22424	3650
860	22450	3624
861	22476	3598
862	22501	3572
863	22526	3545
864	22553	3519
865	22580	3493
866	22605	3467
867	22634	3442
868	22661	3416
869	22686	3390
870	22713	3363
871	22739	3337
872	22766	3312
873	22792	3285
874	22819	3259
875	22845	3233
876	22871	3207
877	22897	3181
878	22923	3155
879	22948	3129
880	22975	3103
881	23001	3077
882	23028	3051
883	23054	3025
884	23080	2999
885	23109	2973
886	23135	2947
887	23158	2920
888	23179	2894
889	23205	2868
890	23230	2841
891	23257	2815
892	23283	2789
893	23307	2763
894	23332	2737
895	23360	2711
896	23389	2685
897	23414	2659
898	23441	2633
899	23464	2607
900	23489	2580
901	23515	2554
902	23542	2528
903	23570	2503
904	23596	2477
905	23623	2450
906	23650	2425
907	23675	2398
908	23702	2372
909	23729	2346
910	23754	2320
911	23780	2294
912	23805	2268
913	23832	2242
914	23860	2216
915	23887	2190
916	23911	2164
917	23939	2138
918	23965	2112
919	23990	2086
920	24017	2060
921	24046	2034
922	24072	2008
923	24098	1982
924	24123	1955
925	24148	1929
926	24174	1903
927	24199	1877
928	24225	1851
929	24250	1825
930	24277	1799
931	24310	1773
932	24339	1747
933	24364	1721
934	24390	1695
935	24416	1669
936	24441	1643
937	24469	1617
938	24495	1591
939	24521	1565
940	24548	1539
941	24575	1513
942	24602	1487
943	24628	1461
944	24653	1434
945	24679	1408
946	24705	1382
947	24733	1356
948	24760	1330
949	24788	1304
950	24812	1278
951	24838	1252
952	24863	1226
953	24888	1200
954	24914	1173
955	24940	1147
956	24966	1121
957	24995	1095
958	25022	1069
959	25048	1043
960	25075	1017
961	25101	991
962	25125	965
963	25152	939
964	25180	913
965	25206	887
966	25231	861
967	25256	834
968	25280	808
969	25308	782
970	25336	756
971	25365	730
972	25391	704
973	25419	678
974	25445	652
975	25472	626
976	25497	600
977	25523	574
978	25549	548
979	25575	521
980	25601	495
981	25629	469
982	25656	443
983	25682	417
984	25708	391
985	25737	365
986	25762	339
987	25790	313
988	25817	287
989	25843	261
990	25869	234
991	25895	208
992	25921	182
993	25948	156
994	25973	130
995	25999	104
996	26025	78
997	26053	52
998	26081	26
999	26108	0
